%OpenBCI Raw EEG Data % %Sample Rate = 250.0 Hz %First Column = SampleIndex %Other Columns = EEG data in microvolts
-29, 8081.03, -865.44, 19319.28, 31468.30, 4714.09, 36761.35, -587.38, 26779.51
-28, 7641.59, -845.37, 18335.31, 29751.33, 4410.33, 34759.82, -586.38, 25320.54
-27, 11011.34, -1218.13, 26441.22, 42836.22, 6349.84, 50050.63, -838.01, 36456.92
-26, 11253.32, -1239.29, 27008.26, 43812.66, 6513.92, 51190.20, -847.11, 37284.79
-25, 8650.79, -943.85, 20747.91, 33684.50, 5021.52, 39353.35, -641.34, 28665.91
-24, 7839.11, -858.66, 18819.74, 30543.50, 4541.02, 35679.64, -587.60, 25991.48
-23, 9083.59, -988.33, 21808.86, 35371.27, 5258.18, 41330.65, -674.69, 30106.37
-22, 9370.79, -1021.45, 22475.91, 36478.40, 5420.41, 42621.87, -699.86, 31046.37
-21, 8285.79, -904.84, 19865.83, 32214.38, 4782.71, 37647.51, -621.60, 27421.97
-20, 7669.91, -839.35, 18382.90, 29819.39, 4430.27, 34849.56, -573.88, 25382.28
-19, 7913.70, -873.89, 18990.96, 30806.51, 4576.32, 36001.14, -589.77, 26218.50
-18, 7970.50, -873.06, 19110.25, 31023.08, 4608.30, 36247.33, -596.34, 26399.82
-17, 7534.79, -829.74, 18101.85, 29343.43, 4341.69, 34289.47, -572.54, 24970.43
-16, 7067.73, -779.76, 16950.02, 27509.54, 4085.27, 32144.98, -534.47, 23408.91
-15, 6720.05, -744.63, 16135.54, 26167.65, 3879.57, 30575.26, -508.90, 22270.78
-14, 6573.11, -718.56, 15760.03, 25569.88, 3804.15, 29875.92, -488.54, 21763.80
-13, 6354.24, -697.91, 15231.15, 24721.16, 3670.22, 28886.25, -478.80, 21041.08
-12, 6094.00, -660.34, 14592.02, 23707.84, 3529.72, 27698.05, -451.57, 20178.93
-11, 5942.61, -658.82, 14268.30, 23129.65, 3429.47, 27033.92, -450.92, 19693.38
-10, 5895.92, -637.14, 14126.64, 22906.45, 3399.97, 26767.42, -442.90, 19495.70
-9, 5690.13, -619.81, 13647.84, 22128.83, 3282.73, 25862.98, -432.44, 18841.65
-8, 5397.81, -581.77, 12929.97, 20992.73, 3125.47, 24533.52, -406.00, 17870.22
-7, 5238.02, -580.68, 12572.52, 20387.65, 3022.58, 23823.58, -404.10, 17351.32
-6, 5049.71, -570.26, 12130.45, 19676.98, 2920.08, 22988.65, -384.58, 16741.30
-5, 4790.45, -521.67, 11467.76, 18610.87, 2772.38, 21739.91, -355.71, 15830.26
-4, 4611.03, -507.74, 11054.19, 17935.57, 2661.62, 20955.25, -352.49, 15258.26
-3, 4572.52, -496.63, 10968.67, 17785.75, 2636.48, 20777.11, -352.38, 15126.72
-2, 4449.96, -484.76, 10687.80, 17343.10, 2570.50, 20260.56, -343.50, 14752.26
-1, 4205.75, -465.65, 10115.62, 16417.35, 2436.12, 19175.96, -322.87, 13964.38
0, 4023.65, -449.52, 9686.17, 15717.07, 2335.71, 18357.08, -308.95, 13369.87
-29, 3971.23, -452.49, 9555.46, 15480.57, 2297.27, 18086.45, -309.93, 13172.15
-28, 3887.95, -442.05, 9329.19, 15135.75, 2251.11, 17681.61, -305.08, 12874.67
-27, 3697.16, -412.08, 8876.95, 14375.84, 2140.11, 16792.82, -288.54, 12224.50
-26, 3528.74, -387.07, 8454.57, 13713.51, 2048.16, 16014.22, -269.20, 11659.18
-25, 3449.34, -385.10, 8279.55, 13409.03, 1990.78, 15656.12, -268.76, 11397.69
-24, 3209.40, -353.18, 7708.24, 12489.26, 1853.99, 14590.90, -246.41, 10625.75
-23, 2951.59, -325.98, 7099.90, 11509.38, 1689.17, 13446.36, -240.17, 9788.43
-22, 2885.74, -308.99, 6921.66, 11233.83, 1665.16, 13126.60, -218.78, 9557.16
-21, 2746.20, -309.24, 6606.77, 10720.66, 1577.09, 12524.17, -221.24, 9120.07
-20, 2605.83, -295.33, 6258.44, 10176.23, 1507.78, 11885.76, -204.90, 8654.28
-19, 2501.29, -304.05, 6031.73, 9783.40, 1442.60, 11431.49, -202.80, 8325.73
-18, 2436.70, -284.07, 5860.07, 9510.55, 1411.67, 11107.30, -187.89, 8090.17
-17, 2323.46, -267.53, 5607.96, 9084.20, 1342.20, 10609.32, -184.13, 7726.71
-16, 2102.20, -238.65, 5080.53, 8228.68, 1228.03, 9610.13, -158.52, 7001.88
-15, 1942.52, -224.26, 4669.90, 7581.13, 1125.57, 8854.40, -149.22, 6447.23
-14, 1840.22, -202.22, 4412.32, 7160.11, 1064.41, 8363.91, -134.65, 6090.74
-13, 1752.98, -183.80, 4195.62, 6798.95, 1008.00, 7938.91, -126.91, 5781.97
-12, 1670.99, -176.74, 4021.84, 6518.35, 972.01, 7609.09, -117.19, 5541.09
-11, 1480.45, -173.58, 3595.72, 5822.70, 867.99, 6797.79, -106.71, 4949.57
-10, 1400.29, -164.84, 3381.71, 5479.60, 817.67, 6406.01, -102.19, 4664.27
-9, 1331.87, -159.43, 3216.95, 5199.75, 773.53, 6082.98, -96.49, 4428.89
-8, 1260.30, -149.64, 3031.07, 4914.88, 737.16, 5743.53, -91.55, 4182.77
-7, 1095.28, -121.21, 2644.35, 4292.94, 645.36, 5014.39, -74.52, 3651.96
-6, 1020.56, -120.90, 2481.18, 4016.09, 591.00, 4685.37, -77.72, 3410.38
-5, 957.66, -106.33, 2313.20, 3764.46, 560.76, 4391.27, -69.07, 3200.03
-4, 882.74, -111.54, 2144.85, 3469.55, 509.20, 4049.17, -71.84, 2949.96
-3, 819.15, -101.70, 1973.41, 3204.17, 483.49, 3740.01, -58.29, 2724.86
-2, 692.81, -80.53, 1671.15, 2707.51, 411.09, 3162.35, -48.84, 2306.30
-1, 553.34, -62.05, 1354.58, 2194.27, 334.47, 2558.78, -40.32, 1865.59
0, 449.83, -49.24, 1078.74, 1734.76, 266.43, 2025.87, -31.83, 1474.08
-29, 387.31, -46.40, 940.49, 1495.47, 216.88, 1748.96, -34.00, 1270.09
-28, 343.37, -35.83, 798.25, 1278.30, 192.94, 1490.12, -24.68, 1084.82
-27, 274.75, -37.35, 666.95, 1053.35, 154.50, 1226.48, -28.65, 889.71
-26, 153.20, -18.51, 424.01, 655.24, 108.27, 758.84, -10.59, 554.46
-25, 108.70, -15.24, 302.98, 461.72, 89.70, 531.21, 3.04, 390.24
-24, 63.01, -18.35, 166.79, 254.65, 51.05, 295.87, 1.25, 218.40
-23, 24.68, -14.80, 46.47, 63.08, 12.81, 71.48, -6.68, 51.14
-22, -65.98, 9.81, -185.16, -316.48, -56.46, -369.83, -14.39, -273.94
-21, -119.07, 15.85, -301.23, -498.85, -85.27, -578.95, -17.84, -427.21
-20, -152.10, 21.68, -396.36, -670.40, -111.96, -786.09, -13.32, -574.44
-19, -176.18, 24.86, -507.07, -835.71, -135.54, -978.94, -9.99, -715.08
-18, -224.55, 15.09, -605.02, -1014.79, -166.70, -1190.21, -17.64, -871.34
-17, -264.56, 24.79, -704.17, -1165.20, -183.24, -1370.56, -12.27, -1002.21
-16, -309.88, 26.71, -785.24, -1320.00, -210.53, -1550.65, -8.43, -1133.64
-15, -350.74, 32.05, -880.41, -1455.77, -216.03, -1705.35, 7.60, -1242.35
-14, -388.52, 32.83, -967.63, -1614.62, -249.33, -1894.56, 7.22, -1376.08
-13, -412.70, 46.31, -1056.88, -1741.33, -255.30, -2039.95, 25.15, -1477.58
-12, -464.16, 28.92, -1148.03, -1893.82, -292.54, -2218.05, 14.77, -1609.41
-11, -497.08, 41.04, -1234.60, -2016.62, -302.02, -2367.16, 20.12, -1722.07
